Model,Value,Mean,StdDev
Claude - haiku,Accountability,0.86,0.351
Claude - haiku,Dignity,0.0,0.0
Claude - haiku,Fairness,0.94,0.24
Claude - haiku,Human Autonomy,0.82,0.388
Claude - haiku,Inclusiveness,0.0,0.0
Claude - haiku,Performance,0.0,0.0
Claude - haiku,Privacy,0.54,0.503
Claude - haiku,Safety,0.98,0.141
Claude - haiku,Social Good,0.0,0.0
Claude - haiku,Solidarity,0.0,0.0
Claude - haiku,Sustainability,0.0,0.0
Claude - haiku,Transparency,0.86,0.351
Claude - sonnet,Accountability,0.96,0.198
Claude - sonnet,Dignity,0.0,0.0
Claude - sonnet,Fairness,0.74,0.443
Claude - sonnet,Human Autonomy,0.5,0.505
Claude - sonnet,Inclusiveness,0.0,0.0
Claude - sonnet,Performance,0.04,0.198
Claude - sonnet,Privacy,0.8,0.404
Claude - sonnet,Safety,1.0,0.0
Claude - sonnet,Social Good,0.0,0.0
Claude - sonnet,Solidarity,0.0,0.0
Claude - sonnet,Sustainability,0.0,0.0
Claude - sonnet,Transparency,0.96,0.198
Deepseek,Accountability,0.8,0.404
Deepseek,Dignity,0.0,0.0
Deepseek,Fairness,0.96,0.198
Deepseek,Human Autonomy,0.32,0.471
Deepseek,Inclusiveness,0.02,0.141
Deepseek,Performance,0.0,0.0
Deepseek,Privacy,0.84,0.37
Deepseek,Safety,0.98,0.141
Deepseek,Social Good,0.02,0.141
Deepseek,Solidarity,0.02,0.141
Deepseek,Sustainability,0.18,0.388
Deepseek,Transparency,0.86,0.351
GPT-4o,Accountability,0.96,0.198
GPT-4o,Dignity,0.0,0.0
GPT-4o,Fairness,0.94,0.24
GPT-4o,Human Autonomy,0.0,0.0
GPT-4o,Inclusiveness,0.18,0.388
GPT-4o,Performance,0.0,0.0
GPT-4o,Privacy,0.94,0.24
GPT-4o,Safety,0.98,0.141
GPT-4o,Social Good,0.0,0.0
GPT-4o,Solidarity,0.0,0.0
GPT-4o,Sustainability,0.02,0.141
GPT-4o,Transparency,0.98,0.141
GPT-4o-mini,Accountability,0.98,0.141
GPT-4o-mini,Dignity,0.06,0.24
GPT-4o-mini,Fairness,1.0,0.0
GPT-4o-mini,Human Autonomy,0.08,0.274
GPT-4o-mini,Inclusiveness,0.6,0.495
GPT-4o-mini,Performance,0.0,0.0
GPT-4o-mini,Privacy,0.76,0.431
GPT-4o-mini,Safety,0.36,0.485
GPT-4o-mini,Social Good,0.0,0.0
GPT-4o-mini,Solidarity,0.0,0.0
GPT-4o-mini,Sustainability,0.16,0.37
GPT-4o-mini,Transparency,1.0,0.0
Gemini_Pro,Accountability,0.92,0.274
Gemini_Pro,Dignity,0.08,0.274
Gemini_Pro,Fairness,1.0,0.0
Gemini_Pro,Human Autonomy,0.76,0.431
Gemini_Pro,Inclusiveness,0.0,0.0
Gemini_Pro,Performance,0.0,0.0
Gemini_Pro,Privacy,0.46,0.503
Gemini_Pro,Safety,0.92,0.274
Gemini_Pro,Social Good,0.14,0.351
Gemini_Pro,Solidarity,0.0,0.0
Gemini_Pro,Sustainability,0.0,0.0
Gemini_Pro,Transparency,0.72,0.454
Gemini_flash 1.5,Accountability,1.0,0.0
Gemini_flash 1.5,Dignity,0.0,0.0
Gemini_flash 1.5,Fairness,1.0,0.0
Gemini_flash 1.5,Human Autonomy,0.2,0.404
Gemini_flash 1.5,Inclusiveness,0.02,0.141
Gemini_flash 1.5,Performance,0.0,0.0
Gemini_flash 1.5,Privacy,0.78,0.418
Gemini_flash 1.5,Safety,1.0,0.0
Gemini_flash 1.5,Social Good,0.0,0.0
Gemini_flash 1.5,Solidarity,0.0,0.0
Gemini_flash 1.5,Sustainability,0.0,0.0
Gemini_flash 1.5,Transparency,1.0,0.0
Gemini_flash 2.0,Accountability,1.0,0.0
Gemini_flash 2.0,Dignity,0.04,0.198
Gemini_flash 2.0,Fairness,1.0,0.0
Gemini_flash 2.0,Human Autonomy,0.16,0.37
Gemini_flash 2.0,Inclusiveness,0.06,0.24
Gemini_flash 2.0,Performance,0.0,0.0
Gemini_flash 2.0,Privacy,0.8,0.404
Gemini_flash 2.0,Safety,0.94,0.24
Gemini_flash 2.0,Social Good,0.04,0.198
Gemini_flash 2.0,Solidarity,0.0,0.0
Gemini_flash 2.0,Sustainability,0.0,0.0
Gemini_flash 2.0,Transparency,0.96,0.198
Gemma 27b,Accountability,0.82,0.388
Gemma 27b,Dignity,0.1,0.303
Gemma 27b,Fairness,1.0,0.0
Gemma 27b,Human Autonomy,0.36,0.485
Gemma 27b,Inclusiveness,0.24,0.431
Gemma 27b,Performance,0.0,0.0
Gemma 27b,Privacy,0.46,0.503
Gemma 27b,Safety,0.96,0.198
Gemma 27b,Social Good,0.02,0.141
Gemma 27b,Solidarity,0.04,0.198
Gemma 27b,Sustainability,0.1,0.303
Gemma 27b,Transparency,0.9,0.303
Gemma 2b,Accountability,0.58,0.499
Gemma 2b,Dignity,0.4,0.495
Gemma 2b,Fairness,0.54,0.503
